gene_id	gene_symbol	ensg	hgnc_id	disease_term_id	disease_name	matching_hpo_terms	modes_of_inheritance	mode_of_inheritance_curies	classifications	evidence_sources	source_evidence	assertion_count
40531	CASP10	ENSG00000003400	HGNC:1500	MONDO:0011383	autoimmune lymphoproliferative syndrome type 2A	[{'label': 'Autoimmune neutropenia', 'term_id': 'HP:0001904'}]	['AD', 'Autosomal dominant', 'Unknown']	['HP:0000005', 'HP:0000006']	['Limited', 'Strong']	['ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'AD', 'source': 'ClinGen', 'classification': 'Limited', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal dominant', 'source': 'G2P', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Unknown', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000005', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
48410	CD40	ENSG00000101017	HGNC:11919	MONDO:0011735	hyper-IgM syndrome type 3	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
48411	CD40LG	ENSG00000102245	HGNC:11935	MONDO:0010626	hyper-IgM syndrome type 1	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['XL', 'X-linked']	['HP:0001417']	['Definitive', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'XL', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'X-linked', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0001417', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'X-linked', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
48431	CD79A	ENSG00000105369	HGNC:1698	MONDO:0013288	agammaglobulinemia 3, autosomal recessive	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
48525	CDC40	ENSG00000168438	HGNC:17350	MONDO:0030259	pontocerebellar hypoplasia, type 15	[{'label': 'Persistently decreased total neutrophil count', 'term_id': 'HP:0410252'}]	['Autosomal recessive', 'Unknown']	['HP:0000005', 'HP:0000007']	['Limited']	['G2P', 'Labcorp Genetics (formerly Invitae)']	[{'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Unknown', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000005', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
49513	CLPB	ENSG00000162129	HGNC:30664	MONDO:0014561	3-methylglutaconic aciduria, type VIIB	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['Ambry Genetics', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
49723	COG4	ENSG00000103051	HGNC:18620	MONDO:0019407	microcephalic osteodysplastic dysplasia, Saul-Wilson type	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal dominant']	['HP:0000006']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'ClinGen', 'moi_curie': 'HP:0000006', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'G2P', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	5
50099	CRELD1	ENSG00000163703	HGNC:14630	MONDO:0958329	Jeffries-Lakhani neurodevelopmental syndrome	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Moderate']	['G2P']	[{'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
50215	CSF3	ENSG00000108342	HGNC:2438	MONDO:0014865	autosomal recessive severe congenital neutropenia due to CSF3R deficiency	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Moderate']	['LiferaOmics']	[{'moi': 'Autosomal recessive', 'source': 'LiferaOmics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
50216	CSF3R	ENSG00000119535	HGNC:2439	MONDO:0014865	autosomal recessive severe congenital neutropenia due to CSF3R deficiency	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['Ambry Genetics', 'Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
50516	CXCR2	ENSG00000180871	HGNC:6027	MONDO:0030374	WHIM syndrome 2	[{'label': 'Persistently decreased total neutrophil count', 'term_id': 'HP:0410252'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['Labcorp Genetics (formerly Invitae)']	[{'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
50519	CXCR4	ENSG00000121966	HGNC:2561	MONDO:8000006	WHIM syndrome 1	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal dominant']	['HP:0000006']	['Definitive', 'Strong']	['G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal dominant', 'source': 'G2P', 'moi_curie': 'HP:0000006', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
51514	DNAJC21	ENSG00000168724	HGNC:27030	MONDO:0014887	bone marrow failure syndrome 3	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
51612	DOCK11	ENSG00000147251	HGNC:23483	MONDO:0957494	autoinflammatory disease, multisystem, with immune dysregulation, X-linked	[{'label': 'Autoimmune neutropenia', 'term_id': 'HP:0001904'}]	['XL', 'X-linked']	['HP:0001417']	['Limited', 'Strong']	['Ambry Genetics', 'ClinGen', 'PanelApp Australia']	[{'moi': 'XL', 'source': 'ClinGen', 'classification': 'Strong', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'X-linked', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0001417', 'classification': 'Limited', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'X-linked', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0001417', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
52224	EFL1	ENSG00000140598	HGNC:25789	MONDO:0044205	Shwachman-Diamond syndrome 2	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Definitive', 'Moderate', 'Strong']	['Ambry Genetics', 'ClinGen', 'PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Moderate', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'ClinGen', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	3
52448	ELANE	ENSG00000197561	HGNC:3309	MONDO:0008090	cyclic hematopoiesis	[{'label': 'Cyclically decreased total neutrophil count', 'term_id': 'HP:0040289'}]	['Autosomal dominant']	['HP:0000006']	['Strong']	['Labcorp Genetics (formerly Invitae)', 'Orphanet']	[{'source': 'Orphanet'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	2
52722	EPG5	ENSG00000152223	HGNC:29331	MONDO:0009452	Vici syndrome	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	['Ambry Genetics', 'ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Orphanet', 'PanelApp Australia']	[{'source': 'Orphanet'}, {'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	7
9182	ETV6	ENSG00000139083	HGNC:3495	MONDO:0014536	thrombocytopenia 5	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AD', 'Autosomal dominant']	['HP:0000006']	['Definitive', 'Strong']	['Ambry Genetics', 'ClinGen', 'Labcorp Genetics (formerly Invitae)', 'PanelApp Australia']	[{'moi': 'AD', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal dominant', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000006', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal dominant', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000006', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	4
9227	EXOC3L2	ENSG00000283632	HGNC:30162	MONDO:0975799	brain malformation renal syndrome	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['Autosomal recessive']	['HP:0000007']	['Strong']	['PanelApp Australia']	[{'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]	1
9734	FANCA	ENSG00000187741	HGNC:3582	MONDO:0009215	Fanconi anemia complementation group A	[{'label': 'Decreased total neutrophil count', 'term_id': 'HP:0001875'}]	['AR', 'Autosomal recessive']	['HP:0000007']	['Definitive', 'Strong']	"['Ambry Genetics', 'ClinGen', 'G2P', 'Labcorp Genetics (formerly Invitae)', 'Laboratory for Molecular Medicine', ""Myriad Women's Health"", 'Natera', 'PanelApp Australia']"	"[{'moi': 'AR', 'source': 'ClinGen', 'classification': 'Definitive', 'classification_scheme': 'ClinGen Gene-Disease Validity'}, {'moi': 'Autosomal recessive', 'source': 'Ambry Genetics', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'G2P', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Labcorp Genetics (formerly Invitae)', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Laboratory for Molecular Medicine', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': ""Myriad Women's Health"", 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'Natera', 'moi_curie': 'HP:0000007', 'classification': 'Definitive', 'classification_scheme': 'GenCC gene-disease validity classification'}, {'moi': 'Autosomal recessive', 'source': 'PanelApp Australia', 'moi_curie': 'HP:0000007', 'classification': 'Strong', 'classification_scheme': 'GenCC gene-disease validity classification'}]"	8
